Name,Scientific Name,Type,Color,Hardiness Zone,Blooms/Harvest,Height1,Height2,Soil Type,Ph1,Ph2,Sun Needs,Water Needs,Maintenance,Companions,Avoid,
Poppy,Papaver,"Annuals, Perennials","Red, White, Yellow, Pink, Orange, Purple","3, 4, 5, 6, 7, 8, 9, 10","Spring, Summer",2,3,Well-Drained,6.5,7,"Full Sun, Partial Sun",Average,Low,"Petunia, Salvia, Flowering Tobacco, Gomphrena, Celosia",Cacti,
Canna Lily,Canna Lily,"Bulbs, Perennials","Red, Orange, Pink, Yellow, Cream, White","8, 9, 10","Summer, Autumn",3,10,"Fertile, Moist, Well-Drained",5.5,6.5,Full Sun,Average,Medium,"Ornamental Grass, Carex, Fern","Wisteria, Barberry, Butterfly Bush, Japanese HoneySuckle, English Ivy",
Rose,Rosa Rubiginosa,"Climbers, Roses, Shrubs","White, Yellow, Red, Pink, Purple","2, 3, 4, 5, 6, 7, 8, 9, 10","Spring, Summer, Autumn",8,50,"Moist, Well-Drained",6,7.5,Full Sun,Average,Medium,"Geranium, Rue, Feverfew, Parsley, Thyme, Marigold","Bunchberry, Toad Lily, Leopard Plant, Fuchsia",
Tiger Lily,Lilium lancifolium,Perennials,"White, Cream, Yellow, Pink, Red","3, 4, 5, 6, 7, 8, 9",Summer,3,5,Moist,5.5,6.5,Full Sun,Average,Low,"Dahlia, Hyacinth, Daffodil, Tulip, Allium, Snowdrop, Gladiolu, Canna","Wisteria, Barberry, Butterfly Bush, Japanese HoneySuckle, English Ivy",
Calendula,Calendula Officinalis,"Annuals, Herbs, Perennials","Yellow, Orange","2, 3, 4, 5, 6, 7, 8, 9, 10, 11","Spring, Autumn, Winter, Summer",1,2,"Fertile, Well-Drained",5.5,7,"Full Sun, Partial Sun",Average,Low,"Cucumber, Tomato, Pea, Carrot, Asparagus","Dill, Parsnip, Potato",
California Poppy,Eschscholzia californica,"Annuals, Perennials","Orange, Orange-Yellow","6, 7, 8, 9, 10",Summer,1,1.5,Well-Drained,7,10,Full Sun,Avergae,Low,"Lavender, Salvia",None,
Marigold,Calendula Officinalis,"Annuals, Herbs, Perennials","Yellow, Orange","2, 3, 4, 5, 6, 7, 8, 9, 10, 11","Spring, Autumn, Winter, Summer",1,2,"Fertile, Well-Drained",5.5,7,"Full Sun, Partial Sun",Average,Low,"Cucumber, Melon, Eggplant, Squash, Potato, Lettuce, Pumpkin, Tomatoe","Bean, Cabbage",
Daffodil,Narcissus pseudonarcissus,"Bulbs, Perennials","White, Yellow","3, 4, 5, 6, 7, 8, 9",Spring,1,3,"Fertile, Moist, Well-Drained",6,7,"Full Sun, Partial Sun",Low,Low,"Azalea, Daylily, Forsythia, Hyacinth, Tulip","Marigold, Zinnia, Sunflower, Tomato, Maple Tree, Beech Tree, Dogwood",
Sunflower,Helianthus annus L.,"Annuals, Perennials","Yellow, Cream, Red, Orange, Purple","3, 4, 5, 6, 7, 8, 9","Autumn, Summer",1,10,"Fertile, Well-Drained",6,7.5,Full Sun,Average,Low,"Crimson Clover, Pumpkin, Squash, Corn, Lettuce, Tomato ","Potato, Hyssop, Fennel",
Hydrangea,Hydrangea angustipetala,"Climbers, Shrubs, Trees","Blue, Purple, White, Pink, Red","3, 4, 5, 6, 7, 8, 9","Spring, Autumn, Summer",1,40,"Moist, Well-Drained",6,6.2,Partial Sun,Average,Low,"Azalea, Holly, Yew, Mahonia, Gardenia, Loropetalum, Boxwood ",Lavender,
